Date,Type,Details,ticker
2020-04-24,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-05-11,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-05-11,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-02,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-02,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-03,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-03,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-04,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-04,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-05,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-05,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-08,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-08,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-09,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-09,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-10,Contradiction MA-RSI,"{'MA_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
2020-06-10,Contradiction MACD-RSI,"{'MACD_Signal': 'Buy', 'RSI_Signal': 'Sell'}",SPY
